FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,etab_adr,ouverture_jour,organisme,centroid_lon,centroid_lat,region_nom_bdd_norm,prefecture_nom_bdd_norm,canton_nom_bdd_norm,source,prefecture_nom_bdd_clean
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4850,Kara,Kozah,Kozah 2,Bohou,Bohou tchamde,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",PASA,1.16910478603644,9.623989403544625,kara,kozah,bohou,pisciculture,kozah
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4851,Kara,Doufelgou,Doufelgou 2,Défalé,"Tamde, piscine africa-flor","{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Coopérative OTCHOMA,1.0894793001487046,9.889970264051092,kara,doufelgou,defale,pisciculture,doufelgou
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4852,Kara,Kozah,Kozah 1,Commune De Kara,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,1.2009785162862456,9.600167608366608,kara,kozah,kara,pisciculture,kozah
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4853,Kara,Kozah,Kozah 1,Commune De Kara,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,1.226442121864735,9.52994889310732,kara,kozah,kara,pisciculture,kozah
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4854,Kara,Kozah,Kozah 3,Kpinzindè,A 200m du cours primaire du foyer pierre du pauvre n2,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,1.274697579614264,9.451410153860206,kara,kozah,kpinzinde,pisciculture,kozah
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4855,Savanes,Tône,Tône 1,Toaga,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,0.26677678030977303,10.883554799413552,savanes,tone,toaga,pisciculture,tone
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4856,Maritime,Lacs,Lacs 3,Agbodrafo,Keta koda plage-togo,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,1.5547054245608822,6.234963544173767,maritime,lacs,agbodrafo,pisciculture,lacs
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4857,Maritime,Lacs,Lacs 3,Agbodrafo,Keta koda page-togo,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Néant,1.552223853916561,6.225663502610712,maritime,lacs,agbodrafo,pisciculture,lacs
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4858,Maritime,Lacs,Lacs 3,Agbodrafo,Tovinou,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Néant,1.4837936777174774,6.210962793856605,maritime,lacs,agbodrafo,pisciculture,lacs
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4859,Maritime,Lacs,Lacs 3,Agbodrafo,Peda-kome,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Coopérative MAWUEWOE,1.4743984130820855,6.21183323855988,maritime,lacs,agbodrafo,pisciculture,lacs
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_485a,Maritime,Lacs,Lacs 3,Agbodrafo,Djasseme,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Coopérative LE HERON,1.5001454698663235,6.22756838424988,maritime,lacs,agbodrafo,pisciculture,lacs
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_485b,Maritime,Lacs,Lacs 3,Agbodrafo,Djasseme,"{Samedi,Dimanche,Vendredi,Jeudi,Mardi,Mercredi,Lundi}",MIFA,1.4941076104122157,6.226930645917985,maritime,lacs,agbodrafo,pisciculture,lacs
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_485c,Maritime,Lacs,Lacs 3,Agbodrafo,Peda-kome,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Néant,1.4746984433113108,6.211803560182957,maritime,lacs,agbodrafo,pisciculture,lacs
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_485d,Maritime,Lacs,Lacs 3,Agbodrafo,Agbodrafo-togo,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",ITRA,1.4722583501608106,6.20870277758907,maritime,lacs,agbodrafo,pisciculture,lacs
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_485e,Plateaux,Haho,Haho 3,Kpédomé,Agbatitoe,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,1.1530668827861488,7.098503203234719,plateaux,haho,kpedome,pisciculture,haho
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_485f,Plateaux,Haho,Haho 3,Kpédomé,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,1.16581824411694,7.052853332046205,plateaux,haho,kpedome,pisciculture,haho
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4860,Maritime,Lacs,Lacs 3,Gbodjomé,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Privé,1.414783725281537,6.187014471485425,maritime,lacs,gbodjome,pisciculture,lacs
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4861,Maritime,Lacs,Lacs 3,Gbodjomé,Soussou komlan jordan 90100849,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,1.4360932548024716,6.20072470917906,maritime,lacs,gbodjome,pisciculture,lacs
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4862,Maritime,Lacs,Lacs 3,Gbodjomé,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",Ferme en charge par le propriétaire lui-même,1.4209889390279564,6.211934376683191,maritime,lacs,gbodjome,pisciculture,lacs
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4863,Maritime,Lacs,Lacs 3,Gbodjomé,Néant,"{Lundi,Mercredi,Mardi,Jeudi,Vendredi,Samedi}",Nsp,1.420688654094233,6.212034316849318,maritime,lacs,gbodjome,pisciculture,lacs
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4864,Maritime,Avé,Avé 1,Zolo,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,0.9587141175644388,6.400243040069419,maritime,ave,zolo,pisciculture,ave
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4865,Plateaux,Haho,Haho 1,Notsé,Notse/atsokou,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Ferme privée CHAMPA,1.1330116187430472,6.9268312231818685,plateaux,haho,notse,pisciculture,haho
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4866,Plateaux,Kpélé,Kpélé 1,Kpélé-Dawlotou,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Informel,0.8278816132033359,6.887254055004093,plateaux,kpele,kpele dawlotou,pisciculture,kpele
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4867,Centrale,Sotouboua,Sotouboua 2,Kériadé,Nsp,"{Dimanche,Samedi,Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Non,0.9212201153616303,8.67492304553662,centrale,sotouboua,keriade,pisciculture,sotouboua
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4868,Plateaux,Agou,Agou 2,Amoussou-Kopé,Ferme ayikoue à amoussou-kope,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,0.8156882248286516,6.706537454799079,plateaux,agou,amoussou kope,pisciculture,agou
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_4869,Plateaux,Agou,Agou 2,Amoussou-Kopé,A 500m de l'école primaire publique de wudzrale,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",COOPA,0.8285766697062678,6.687592645657479,plateaux,agou,amoussou kope,pisciculture,agou
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_486a,Plateaux,Agou,Agou 2,Amoussou-Kopé,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Nsp,0.8488131782143213,6.698240454406436,plateaux,agou,amoussou kope,pisciculture,agou
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_486b,Plateaux,Agou,Agou 2,Amoussou-Kopé,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi}",Centre latekana,0.8223604791249118,6.706576672346311,plateaux,agou,amoussou kope,pisciculture,agou
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_486c,Maritime,Golfe,Golfe 1,Bè-Est,90998888,"{Lundi,Mardi,Vendredi,Samedi}",Néant,1.276368541209566,6.191209636418294,maritime,golfe,be est,pisciculture,golfe
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_486d,Maritime,Golfe,Golfe 1,Bè-Est,Néant,"{Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche}",Privé,1.2870929208093593,6.164658598785928,maritime,golfe,be est,pisciculture,golfe
_mview_general_zones_pisiculture.fid-54b5a690_19f1563616b_486e,Maritime,Golfe,Golfe 1,Bè-Est,Kangni cope,"{Dimanche,Samedi,Jeudi,Mercredi,Vendredi,Mardi,Lundi}",Nsp,1.2969555303282612,6.177585346795973,maritime,golfe,be est,pisciculture,golfe
